pillar,correct,wrong,total
甲子,0,0,0
乙丑,0,0,0
丙寅,0,0,0
丁卯,0,0,0
戊辰,0,0,0
己巳,0,0,0
庚午,0,0,0
辛未,0,0,0
壬申,0,0,0
癸酉,0,0,0
甲戌,0,0,0
乙亥,0,0,0
丙子,0,0,0
丁丑,0,0,0
戊寅,0,0,0
己卯,0,0,0
庚辰,0,0,0
辛巳,0,0,0
壬午,0,0,0
癸未,0,0,0
甲申,0,0,0
乙酉,0,0,0
丙戌,0,0,0
丁亥,0,0,0
戊子,0,0,0
己丑,0,0,0
庚寅,0,0,0
辛卯,0,0,0
壬辰,0,0,0
癸巳,0,0,0
甲午,0,0,0
乙未,0,0,0
丙申,0,0,0
丁酉,0,0,0
戊戌,0,0,0
己亥,0,0,0
庚子,0,0,0
辛丑,0,0,0
壬寅,0,0,0
癸卯,0,0,0
甲辰,0,0,0
乙巳,0,0,0
丙午,0,0,0
丁未,0,0,0
戊申,0,0,0
己酉,0,0,0
庚戌,0,0,0
辛亥,0,0,0
壬子,0,0,0
癸丑,0,0,0
甲寅,0,0,0
乙卯,0,0,0
丙辰,0,0,0
丁巳,0,0,0
戊午,0,0,0
己未,0,0,0
庚申,0,0,0
辛酉,0,0,0
壬戌,0,0,0
癸亥,0,0,0
